DATE_TIME,DPTemp,DBTemp,Precip,RHumid
2013-01-05T03:53:00,23,31,0.00,72
2013-01-05T04:53:00,23,31,0.00,72
2013-01-05T05:53:00,22,29,0.00,75
2013-01-05T06:53:00,23,29,0.00,78
2013-01-05T07:53:00,23,30,0.00,75
2013-01-05T08:53:00,25,33,0.00,72
2013-01-05T09:53:00,25,36,0.00,64
2013-01-05T10:53:00,24,38,0.00,57
2013-01-05T11:53:00,25,42,0.00,51
2013-01-05T12:53:00,25,44,0.00,47
2013-01-05T13:53:00,25,46,0.00,44
2013-01-05T14:53:00,26,48,0.00,42
2013-01-05T15:53:00,25,48,0.00,41
2013-01-05T16:53:00,26,48,0.00,42
2013-01-05T17:53:00,27,47,0.00,46
2013-01-05T18:53:00,28,47,0.00,48
2013-01-05T19:53:00,30,46,0.00,54
2013-01-05T20:53:00,35,45,0.00,68
2013-01-05T21:53:00,36,44,0.00,73
2013-01-05T22:53:00,38,43,0.00,82
2013-01-05T23:20:00,37,43,0.00,81
2013-01-05T23:53:00,37,43,0.00,80
2013-01-05T23:59:00,,0,0.00,0
2013-01-06T00:53:00,37,43,0.00,80
2013-01-06T01:53:00,37,43,0.00,80
2013-01-06T02:07:00,36,43,0.00,76
2013-01-06T02:53:00,36,43,0.00,76
2013-01-06T03:53:00,36,43,0.00,76
2013-01-06T04:53:00,36,42,0.00,79
2013-01-06T05:53:00,36,42,0.00,79
2013-01-06T06:39:00,36,43,0.00,76
2013-01-06T06:53:00,36,42,0.00,79
2013-01-06T07:53:00,37,42,0.00,82
2013-01-06T08:00:00,37,43,0.00,81
2013-01-06T08:53:00,38,42,0.00,85
2013-01-06T09:33:00,37,43,0.00,81
2013-01-06T09:53:00,38,43,0.00,82
2013-01-06T10:51:00,37,45,0.00,76
2013-01-06T10:53:00,39,45,0.00,80
2013-01-06T11:51:00,39,46,0.00,76
2013-01-06T11:53:00,39,47,0.00,74
2013-01-06T12:53:00,38,48,0.00,68
2013-01-06T13:53:00,38,50,0.00,63
2013-01-06T14:11:00,37,48,0.00,66
2013-01-06T14:34:00,37,50,0.00,62
2013-01-06T14:53:00,37,49,0.00,64
2013-01-06T15:53:00,37,50,0.00,61
2013-01-06T16:53:00,35,47,0.00,63
2013-01-06T17:53:00,35,45,0.00,68
2013-01-06T18:53:00,35,44,0.00,71
2013-01-06T19:53:00,35,42,0.00,76
2013-01-06T20:53:00,35,41,0.00,79
2013-01-06T21:53:00,35,40,0.00,83
2013-01-06T22:53:00,34,39,0.00,82
2013-01-06T23:53:00,34,40,0.00,79
2013-01-06T23:59:00,,0,0.00,0
2013-01-07T00:53:00,33,39,0.00,79
2013-01-07T01:53:00,32,38,0.00,79
2013-01-07T02:53:00,30,39,0.00,70
2013-01-07T03:53:00,30,38,0.00,73
2013-01-07T04:53:00,29,37,0.00,73
2013-01-07T05:53:00,28,34,0.00,79
2013-01-07T06:53:00,28,34,0.00,79
2013-01-07T07:53:00,27,30,0.00,88
2013-01-07T08:53:00,29,34,0.00,82
2013-01-07T09:53:00,30,39,0.00,70
2013-01-07T10:53:00,31,44,0.00,60
2013-01-07T11:53:00,30,49,0.00,48
2013-01-07T12:53:00,30,52,0.00,43
2013-01-07T13:53:00,27,55,0.00,34
2013-01-07T14:53:00,27,56,0.00,33
2013-01-07T15:53:00,27,56,0.00,33
2013-01-07T16:53:00,26,56,0.00,32
2013-01-07T17:53:00,28,53,0.00,38
2013-01-07T18:53:00,30,49,0.00,48
2013-01-07T19:53:00,31,40,0.00,70
2013-01-07T20:53:00,30,39,0.00,70
2013-01-07T21:53:00,30,38,0.00,73
2013-01-07T22:53:00,29,37,0.00,73
2013-01-07T23:53:00,30,45,0.00,56
2013-01-07T23:59:00,,0,0.00,0
2013-01-08T00:53:00,30,44,0.00,58
2013-01-08T01:53:00,31,43,0.00,63
2013-01-08T02:53:00,31,39,0.00,73
2013-01-08T03:53:00,31,37,0.00,79
2013-01-08T04:53:00,32,39,0.00,76
2013-01-08T05:53:00,33,41,0.00,73
2013-01-08T06:51:00,34,43,0.00,71
2013-01-08T06:53:00,33,42,0.00,71
2013-01-08T07:53:00,32,44,0.00,63
2013-01-08T08:53:00,32,45,0.00,61
2013-01-08T09:53:00,32,47,0.00,56
2013-01-08T10:53:00,33,48,0.00,56
2013-01-08T11:53:00,33,49,0.00,55
2013-01-08T12:53:00,36,50,0.00,59
2013-01-08T13:53:00,38,51,0.00,61
2013-01-08T14:53:00,39,52,0.00,61
2013-01-08T15:53:00,39,53,0.00,59
2013-01-08T16:53:00,39,53,0.00,59
2013-01-08T17:53:00,39,52,0.00,61
2013-01-08T18:53:00,40,51,0.00,66
2013-01-08T19:53:00,41,51,0.00,69
2013-01-08T20:53:00,40,50,0.00,68
2013-01-08T21:36:00,39,52,0.00,62
2013-01-08T21:53:00,39,51,0.00,64
2013-01-08T22:53:00,40,50,0.00,68
2013-01-08T23:45:00,39,52,0.00,62
2013-01-08T23:53:00,40,51,0.00,66
2013-01-08T23:59:00,,0,0.00,0
2013-01-09T00:53:00,40,51,0.00,66
2013-01-09T01:29:00,41,52,0.00,67
2013-01-09T01:53:00,41,51,0.00,69
2013-01-09T02:16:00,41,52,0.00,67
2013-01-09T02:53:00,41,51,0.00,69
2013-01-09T03:53:00,41,51,0.00,69
2013-01-09T04:53:00,41,51,0.00,69
2013-01-09T05:53:00,41,51,0.00,69
2013-01-09T06:53:00,42,51,0.00,71
2013-01-09T07:53:00,42,52,0.00,69
2013-01-09T08:00:00,43,52,0.00,72
2013-01-09T08:53:00,43,54,0.00,67
2013-01-09T09:51:00,45,55,0.00,67
2013-01-09T09:53:00,45,56,0.00,67
2013-01-09T10:01:00,45,55,0.00,67
2013-01-09T10:53:00,50,58,0.00,75
2013-01-09T11:51:00,52,63,0.00,68
2013-01-09T11:53:00,52,62,0.00,70
2013-01-09T12:53:00,53,63,0.00,70
2013-01-09T13:53:00,53,63,0.00,70
2013-01-09T14:53:00,54,65,0.00,68
2013-01-09T15:53:00,56,66,0.00,70
2013-01-09T16:53:00,56,65,0.00,73
2013-01-09T17:53:00,56,64,0.00,75
2013-01-09T18:51:00,55,63,0.00,77
2013-01-09T18:53:00,55,62,0.00,78
2013-01-09T19:53:00,54,62,0.00,75
2013-01-09T20:41:00,54,63,0.00,73
2013-01-09T20:53:00,54,61,0.00,78
2013-01-09T21:53:00,54,60,0.00,80
2013-01-09T22:53:00,53,59,0.00,81
2013-01-09T23:53:00,52,58,0.00,81
2013-01-09T23:59:00,,0,0.00,0
2013-01-10T00:53:00,51,56,0.00,84
2013-01-10T01:48:00,52,55,0.00,88
2013-01-10T01:51:00,52,55,0.00,88
2013-01-10T01:53:00,51,55,0.00,87
2013-01-10T02:53:00,52,57,0.00,83
2013-01-10T03:53:00,51,58,0.00,78
2013-01-10T04:53:00,52,58,0.00,81
2013-01-10T05:50:00,52,57,0.00,82
2013-01-10T05:53:00,52,59,0.00,78
2013-01-10T06:53:00,53,59,0.00,81
2013-01-10T07:53:00,56,59,0.00,90
2013-01-10T08:51:00,55,61,0.00,83
2013-01-10T08:53:00,56,61,0.00,84
2013-01-10T09:53:00,55,61,0.00,81
2013-01-10T10:33:00,55,63,0.00,77
2013-01-10T10:53:00,56,62,0.00,80
2013-01-10T11:53:00,56,64,0.00,75
2013-01-10T12:53:00,56,64,0.00,75
2013-01-10T13:53:00,56,65,0.00,73
2013-01-10T14:50:00,57,66,0.00,73
2013-01-10T14:50:00,57,66,0.00,73
2013-01-10T14:53:00,57,66,0.00,73
2013-01-10T15:04:00,57,66,0.00,73
2013-01-10T15:53:00,57,67,0.00,71
2013-01-10T16:53:00,57,68,0.00,68
2013-01-10T17:53:00,57,68,0.00,68
2013-01-10T18:34:00,57,68,0.00,69
2013-01-10T18:51:00,61,64,0.00,88
2013-01-10T18:53:00,61,64,0.02,90
2013-01-10T19:09:00,61,63,0.01,94
2013-01-10T19:14:00,61,63,0.01,94
2013-01-10T19:51:00,61,63,0.00,94
2013-01-10T19:53:00,61,63,0.02,93
2013-01-10T20:51:00,61,63,0.00,94
2013-01-10T20:53:00,60,63,0.01,90
2013-01-10T21:53:00,60,63,0.00,90
2013-01-10T22:31:00,59,63,0.00,88
2013-01-10T22:53:00,59,63,0.00,87
2013-01-10T23:53:00,59,62,0.00,90
2013-01-10T23:59:00,,0,0.00,0
2013-01-11T00:28:00,59,63,0.00,88
2013-01-11T00:53:00,60,62,0.01,93
2013-01-11T01:53:00,60,62,0.00,93
2013-01-11T02:53:00,61,62,0.00,96
2013-01-11T03:53:00,61,62,0.02,96
2013-01-11T04:02:00,61,63,0.00,94
2013-01-11T04:25:00,61,63,0.00,94
2013-01-11T04:32:00,61,63,0.00,94
2013-01-11T04:51:00,61,63,0.00,94
2013-01-11T04:53:00,61,63,0.00,93
2013-01-11T05:53:00,62,63,0.00,97
2013-01-11T06:53:00,62,64,0.00,93
2013-01-11T07:53:00,62,63,0.00,97
2013-01-11T08:51:00,63,64,0.00,94
2013-01-11T08:53:00,62,64,0.00,93
2013-01-11T09:01:00,63,64,0.00,94
2013-01-11T09:53:00,62,65,0.00,90
2013-01-11T10:13:00,63,64,0.00,94
2013-01-11T10:53:00,62,66,0.00,87
2013-01-11T11:04:00,63,66,0.00,88
2013-01-11T11:30:00,63,66,0.00,88
2013-01-11T11:53:00,62,66,0.00,87
2013-01-11T12:12:00,63,66,0.00,88
2013-01-11T12:19:00,63,66,0.00,88
2013-01-11T12:51:00,63,68,0.00,83
2013-01-11T12:53:00,62,68,0.00,81
2013-01-11T13:00:00,63,66,0.00,88
2013-01-11T13:53:00,61,69,0.00,76
2013-01-11T14:22:00,63,68,0.00,83
2013-01-11T14:44:00,63,66,0.02,88
2013-01-11T14:51:00,63,66,0.02,88
2013-01-11T14:53:00,64,67,0.03,91
2013-01-11T15:14:00,64,66,0.05,94
2013-01-11T15:22:00,64,64,0.11,100
2013-01-11T15:50:00,64,64,0.14,100
2013-01-11T15:53:00,64,65,0.13,97
2013-01-11T16:00:00,64,64,0.00,100
2013-01-11T16:17:00,64,66,0.00,94
2013-01-11T16:53:00,64,66,0.00,93
2013-01-11T17:53:00,64,66,0.00,93
2013-01-11T18:53:00,64,65,0.01,97
2013-01-11T19:10:00,63,64,0.00,94
2013-01-11T19:24:00,64,64,0.00,100
2013-01-11T19:33:00,63,64,0.00,94
2013-01-11T19:51:00,63,64,0.00,94
2013-01-11T19:53:00,63,64,0.00,96
2013-01-11T20:10:00,63,63,0.00,100
2013-01-11T20:15:00,63,64,0.00,94
2013-01-11T20:24:00,63,63,0.00,100
