date_code, draw_date,num_1,num_2,num_3,num_4,num_5, MB
date=637726176000000000,11/16/2021,6,22,44,53,65,3
date=637722720000000000,11/12/2021,30,32,42,46,48,15
date=637720128000000000,11/9/2021,9,14,16,26,49,14
date=637716672000000000,11/5/2021,10,15,20,66,68,18
date=637714080000000000,11/2/2021,5,10,26,58,65,9
date=637710624000000000,10/29/2021,15,26,28,35,45,4
date=637708032000000000,10/26/2021,6,14,19,56,62,9
date=637704576000000000,10/22/2021,9,14,26,29,66,22
date=637701984000000000,10/19/2021,3,12,13,19,52,1
date=637698528000000000,10/15/2021,3,20,31,34,65,18
date=637695936000000000,10/12/2021,21,26,56,61,65,4
date=637692480000000000,10/8/2021,21,24,36,40,70,22
date=637689888000000000,10/5/2021,7,11,18,30,36,4
date=637686432000000000,10/1/2021,21,25,36,62,63,6
date=637683840000000000,9/28/2021,18,30,43,68,69,22
date=637680384000000000,9/24/2021,17,21,27,43,56,15
date=637677792000000000,9/21/2021,36,41,45,51,56,13
date=637674336000000000,9/17/2021,17,32,40,59,61,18
date=637671744000000000,9/14/2021,4,13,19,63,64,16
date=637668288000000000,9/10/2021,20,32,35,47,64,18
date=637665696000000000,9/7/2021,15,17,25,32,53,12
date=637662240000000000,9/3/2021,7,10,12,61,65,3
date=637659648000000000,8/31/2021,8,14,31,58,68,15
date=637656192000000000,8/27/2021,1,10,44,47,56,23
date=637653600000000000,8/24/2021,17,18,26,52,67,19
date=637650144000000000,8/20/2021,41,43,51,57,70,1
date=637647552000000000,8/17/2021,3,6,16,38,56,24
date=637644096000000000,8/13/2021,17,21,35,40,53,11
date=637641504000000000,8/10/2021,29,45,50,59,62,12
date=637638048000000000,8/6/2021,9,18,40,46,69,9
date=637635456000000000,8/3/2021,1,9,17,27,34,24
date=637632000000000000,7/30/2021,19,26,31,52,68,10
date=637629408000000000,7/27/2021,2,35,36,54,64,11
date=637625952000000000,7/23/2021,13,17,19,40,69,17
date=637623360000000000,7/20/2021,10,26,30,52,57,10
date=637619904000000000,7/16/2021,24,25,47,52,57,24
date=637617312000000000,7/13/2021,3,10,17,26,55,24
date=637613856000000000,7/9/2021,6,37,39,41,46,17
date=637611264000000000,7/6/2021,18,47,63,68,69,14
date=637607808000000000,7/2/2021,8,31,32,34,45,19
date=637605216000000000,6/29/2021,7,38,50,52,69,21
date=637601760000000000,6/25/2021,17,20,42,45,65,12
date=637599168000000000,6/22/2021,1,26,48,51,59,25
date=637595712000000000,6/18/2021,14,36,44,46,53,18
date=637593120000000000,6/15/2021,18,22,27,38,52,11
date=637589664000000000,6/11/2021,4,43,56,63,68,13
date=637587072000000000,6/8/2021,9,22,39,41,54,19
date=637583616000000000,6/4/2021,4,30,34,41,64,8
date=637581024000000000,6/1/2021,7,11,33,58,63,23
date=637577568000000000,5/28/2021,10,14,20,47,70,15
date=637574976000000000,5/25/2021,14,21,31,34,54,11
date=637571520000000000,5/21/2021,6,9,17,18,48,8
date=637568928000000000,5/18/2021,3,5,56,61,66,4
date=637565472000000000,5/14/2021,3,18,41,44,68,3
date=637562880000000000,5/11/2021,7,8,20,36,39,22
date=637559424000000000,5/7/2021,5,10,19,21,50,10
date=637556832000000000,5/4/2021,4,27,32,57,63,22
date=637553376000000000,4/30/2021,8,19,26,48,49,5
date=637550784000000000,4/27/2021,15,22,30,41,42,25
date=637547328000000000,4/23/2021,4,28,29,30,60,25
date=637544736000000000,4/20/2021,6,23,43,49,52,5
date=637541280000000000,4/16/2021,17,27,28,50,55,25
date=637538688000000000,4/13/2021,10,15,19,45,68,9
date=637535232000000000,4/9/2021,22,26,27,58,66,12
date=637532640000000000,4/6/2021,1,19,20,32,42,17
date=637529184000000000,4/2/2021,10,42,48,53,62,19
date=637526592000000000,3/30/2021,11,37,47,53,56,15
date=637523136000000000,3/26/2021,4,25,37,46,67,15
date=637520544000000000,3/23/2021,12,23,35,38,55,11
date=637517088000000000,3/19/2021,9,14,40,58,69,8
date=637514496000000000,3/16/2021,10,41,46,52,69,8
date=637511040000000000,3/12/2021,2,24,25,31,65,18
date=637508448000000000,3/9/2021,4,33,46,58,65,13
date=637504992000000000,3/5/2021,10,11,17,27,54,20
date=637502400000000000,3/2/2021,4,8,13,34,64,18
date=637498944000000000,2/26/2021,11,15,37,62,64,5
date=637496352000000000,2/23/2021,5,7,9,20,57,15
date=637492896000000000,2/19/2021,27,32,47,50,53,4
date=637490304000000000,2/16/2021,1,36,44,54,66,10
date=637486848000000000,2/12/2021,5,14,24,25,27,14
date=637484256000000000,2/9/2021,7,18,21,31,40,9
date=637480800000000000,2/5/2021,14,17,28,29,44,2
date=637478208000000000,2/2/2021,13,37,38,40,67,10
date=637474752000000000,1/29/2021,4,44,58,59,70,3
date=637472160000000000,1/26/2021,29,49,56,66,67,24
date=637468704000000000,1/22/2021,4,26,42,50,60,24
date=637466112000000000,1/19/2021,10,19,26,28,50,16
date=637462656000000000,1/15/2021,3,11,12,38,43,15
date=637460064000000000,1/12/2021,12,14,26,28,33,9
date=637456608000000000,1/8/2021,3,6,16,18,58,11
date=637454016000000000,1/5/2021,20,43,51,55,57,4
date=637450560000000000,1/1/2021,8,24,53,68,69,7
date=637447968000000000,12/29/2020,1,31,35,48,62,19
date=637444512000000000,12/25/2020,17,23,36,69,70,19
date=637441920000000000,12/22/2020,29,53,56,59,67,21
date=637438464000000000,12/18/2020,7,15,25,51,60,5
date=637435872000000000,12/15/2020,1,10,18,20,46,15
date=637432416000000000,12/11/2020,19,31,37,55,67,25
date=637429824000000000,12/8/2020,15,19,33,39,68,25
date=637426368000000000,12/4/2020,3,19,24,44,50,8
date=637423776000000000,12/1/2020,7,33,53,61,65,14
date=637420320000000000,11/27/2020,4,10,27,35,58,10
date=637417728000000000,11/24/2020,9,15,34,61,64,6
date=637414272000000000,11/20/2020,26,33,45,61,68,17
date=637411680000000000,11/17/2020,8,13,35,46,68,16
date=637408224000000000,11/13/2020,6,7,14,28,59,7
date=637405632000000000,11/10/2020,23,45,53,58,62,13
date=637402176000000000,11/6/2020,18,24,27,34,60,2
date=637399584000000000,11/3/2020,7,31,44,45,55,19
date=637396128000000000,10/30/2020,14,19,34,39,59,11
date=637393536000000000,10/27/2020,6,13,34,46,62,1
date=637390080000000000,10/23/2020,18,34,44,60,69,22
date=637387488000000000,10/20/2020,46,54,57,58,66,10
date=637384032000000000,10/16/2020,27,32,50,52,57,12
date=637381440000000000,10/13/2020,11,44,45,46,70,25
date=637377984000000000,10/9/2020,5,11,25,27,64,13
date=637375392000000000,10/6/2020,15,16,18,39,59,17
date=637371936000000000,10/2/2020,9,38,47,49,68,25
date=637369344000000000,9/29/2020,14,39,43,44,67,19
date=637365888000000000,9/25/2020,20,36,37,48,67,16
date=637363296000000000,9/22/2020,36,43,44,55,68,12
date=637359840000000000,9/18/2020,26,29,41,52,64,11
date=637357248000000000,9/15/2020,25,28,38,59,62,22
date=637353792000000000,9/11/2020,3,15,42,48,56,13
date=637351200000000000,9/8/2020,7,10,15,31,57,21
date=637347744000000000,9/4/2020,19,22,24,28,53,25
date=637345152000000000,9/1/2020,15,25,26,38,47,22
date=637341696000000000,8/28/2020,3,9,50,53,64,1
date=637339104000000000,8/25/2020,8,10,15,17,57,12
date=637335648000000000,8/21/2020,11,15,31,42,63,14
date=637333056000000000,8/18/2020,4,18,26,27,58,23
date=637329600000000000,8/14/2020,3,24,29,42,47,13
date=637327008000000000,8/11/2020,8,22,29,43,56,9
date=637323552000000000,8/7/2020,4,44,53,64,70,3
date=637320960000000000,8/4/2020,2,22,30,42,62,20
date=637317504000000000,7/31/2020,12,35,46,48,69,23
date=637314912000000000,7/28/2020,17,20,27,31,34,19
date=637311456000000000,7/24/2020,8,33,39,54,58,17
date=637308864000000000,7/21/2020,14,25,26,41,43,15
date=637305408000000000,7/17/2020,12,13,21,46,57,21
date=637302816000000000,7/14/2020,6,26,55,56,64,22
date=637299360000000000,7/10/2020,10,15,20,49,53,22
date=637296768000000000,7/7/2020,16,20,25,30,43,18
date=637293312000000000,7/3/2020,20,40,44,45,50,24
date=637290720000000000,6/30/2020,9,16,29,37,53,11
date=637287264000000000,6/26/2020,19,33,37,56,57,6
date=637284672000000000,6/23/2020,6,20,37,40,48,15
date=637281216000000000,6/19/2020,11,34,36,52,66,7
date=637278624000000000,6/16/2020,21,23,33,35,42,6
date=637275168000000000,6/12/2020,9,14,57,67,70,2
date=637272576000000000,6/9/2020,1,5,9,10,23,22
date=637269120000000000,6/5/2020,32,35,37,47,55,22
date=637266528000000000,6/2/2020,9,20,23,26,29,8
date=637263072000000000,5/29/2020,10,13,32,41,51,3
date=637260480000000000,5/26/2020,34,52,58,59,62,4
date=637257024000000000,5/22/2020,8,10,20,44,46,18
date=637254432000000000,5/19/2020,8,19,25,36,66,9
date=637250976000000000,5/15/2020,11,17,32,33,46,25
date=637248384000000000,5/12/2020,7,16,27,44,52,5
date=637244928000000000,5/8/2020,5,20,22,61,70,4
date=637242336000000000,5/5/2020,7,13,17,21,45,14
date=637238880000000000,5/1/2020,28,30,31,35,66,14
date=637236288000000000,4/28/2020,13,19,53,54,63,17
date=637232832000000000,4/24/2020,1,27,32,60,67,18
date=637230240000000000,4/21/2020,13,15,24,67,70,17
date=637226784000000000,4/17/2020,13,35,39,46,55,14
date=637224192000000000,4/14/2020,29,47,65,69,70,7
date=637220736000000000,4/10/2020,2,11,21,57,60,13
date=637218144000000000,4/7/2020,25,33,43,51,68,20
date=637214688000000000,4/3/2020,24,38,44,57,58,17
date=637212096000000000,3/31/2020,8,17,51,57,70,2
date=637208640000000000,3/27/2020,3,25,28,50,60,1
date=637206048000000000,3/24/2020,2,8,16,18,31,14
date=637202592000000000,3/20/2020,34,35,41,45,54,5
date=637200000000000000,3/17/2020,20,27,28,58,59,25
date=637196544000000000,3/13/2020,7,22,37,43,44,22
date=637193952000000000,3/10/2020,6,17,48,54,69,12
date=637190496000000000,3/6/2020,15,48,56,58,70,4
date=637187904000000000,3/3/2020,8,12,33,56,64,2
date=637184448000000000,2/28/2020,2,3,14,41,64,17
date=637181856000000000,2/25/2020,2,9,43,49,63,15
date=637178400000000000,2/21/2020,4,7,13,16,60,6
date=637175808000000000,2/18/2020,6,12,39,61,70,4
date=637172352000000000,2/14/2020,10,32,48,54,55,18
date=637169760000000000,2/11/2020,4,6,32,52,64,6
date=637166304000000000,2/7/2020,9,14,27,36,52,4
date=637163712000000000,2/4/2020,32,48,50,51,64,10
date=637160256000000000,1/31/2020,28,31,33,57,62,19
date=637157664000000000,1/28/2020,17,36,47,51,62,21
date=637154208000000000,1/24/2020,3,4,18,23,38,24
date=637151616000000000,1/21/2020,16,18,29,31,37,8
date=637148160000000000,1/17/2020,3,25,30,54,70,9
date=637145568000000000,1/14/2020,9,11,13,31,47,11
date=637142112000000000,1/10/2020,17,27,49,51,66,2
date=637139520000000000,1/7/2020,25,40,41,52,56,21
date=637136064000000000,1/3/2020,37,41,42,53,63,16
date=637133472000000000,12/31/2019,30,44,49,53,56,11
date=637130016000000000,12/27/2019,17,34,40,63,64,24
date=637127424000000000,12/24/2019,27,37,48,63,66,11
date=637123968000000000,12/20/2019,3,20,23,35,60,16
date=637121376000000000,12/17/2019,22,30,53,55,56,16
date=637117920000000000,12/13/2019,17,21,29,39,56,22
date=637115328000000000,12/10/2019,18,31,46,54,61,25
date=637111872000000000,12/6/2019,20,31,40,46,61,20
date=637109280000000000,12/3/2019,23,43,60,63,69,19
date=637105824000000000,11/29/2019,6,8,31,50,65,9
date=637103232000000000,11/26/2019,8,27,29,38,43,13
date=637099776000000000,11/22/2019,7,12,17,49,53,24
date=637097184000000000,11/19/2019,22,43,44,47,66,22
date=637093728000000000,11/15/2019,12,19,34,35,68,20
date=637091136000000000,11/12/2019,19,30,44,56,65,24
date=637087680000000000,11/8/2019,3,4,10,39,58,14
date=637085088000000000,11/5/2019,2,9,24,49,54,19
date=637081632000000000,11/1/2019,9,20,36,41,54,22
date=637079040000000000,10/29/2019,4,9,17,27,39,22
date=637075584000000000,10/25/2019,16,24,25,52,60,6
date=637072992000000000,10/22/2019,5,11,14,23,25,10
date=637069536000000000,10/18/2019,18,58,60,65,67,20
date=637066944000000000,10/15/2019,4,12,14,35,70,2
date=637063488000000000,10/11/2019,14,22,30,37,60,8
date=637060896000000000,10/8/2019,5,8,10,17,48,23
date=637057440000000000,10/4/2019,11,38,44,48,70,17
date=637054848000000000,10/1/2019,10,17,39,42,59,3
date=637051392000000000,9/27/2019,12,20,31,43,45,20
date=637048800000000000,9/24/2019,6,14,24,42,46,9
date=637045344000000000,9/20/2019,23,24,42,48,53,22
date=637042752000000000,9/17/2019,12,15,30,50,65,1
date=637039296000000000,9/13/2019,6,16,37,59,62,5
date=637036704000000000,9/10/2019,34,47,48,50,55,24
date=637033248000000000,9/6/2019,4,11,13,19,31,10
date=637030656000000000,9/3/2019,13,20,27,61,62,5
date=637027200000000000,8/30/2019,3,9,11,34,39,10
date=637024608000000000,8/27/2019,8,12,23,39,43,6
date=637021152000000000,8/23/2019,11,15,37,54,68,21
date=637018560000000000,8/20/2019,8,14,25,51,63,4
date=637015104000000000,8/16/2019,4,14,24,26,46,14
date=637012512000000000,8/13/2019,7,27,31,34,51,5
date=637009056000000000,8/9/2019,15,53,56,59,63,1
date=637006464000000000,8/6/2019,11,17,31,43,55,16
date=637003008000000000,8/2/2019,11,20,26,48,70,19
date=637000416000000000,7/30/2019,10,24,28,33,38,6
date=636996960000000000,7/26/2019,4,6,11,43,48,11
date=636994368000000000,7/23/2019,1,4,23,40,45,11
date=636990912000000000,7/19/2019,16,18,28,33,67,14
date=636988320000000000,7/16/2019,8,16,31,48,52,23
date=636984864000000000,7/12/2019,8,25,38,56,59,7
date=636982272000000000,7/9/2019,12,26,40,48,64,1
date=636978816000000000,7/5/2019,6,38,47,57,63,12
date=636976224000000000,7/2/2019,3,25,37,40,55,13
date=636972768000000000,6/28/2019,2,35,49,53,63,1
date=636970176000000000,6/25/2019,24,33,45,47,61,17
date=636966720000000000,6/21/2019,13,30,36,48,62,18
date=636964128000000000,6/18/2019,12,14,22,24,48,21
date=636960672000000000,6/14/2019,19,40,47,57,65,6
date=636958080000000000,6/11/2019,20,34,39,43,57,13
date=636954624000000000,6/7/2019,17,19,27,40,68,2
date=636952032000000000,6/4/2019,25,37,46,48,68,25
date=636948576000000000,5/31/2019,7,8,26,65,67,4
date=636945984000000000,5/28/2019,9,21,34,42,50,21
date=636942528000000000,5/24/2019,14,41,44,56,62,10
date=636939936000000000,5/21/2019,10,50,55,56,58,15
date=636936480000000000,5/17/2019,5,17,28,32,63,11
date=636933888000000000,5/14/2019,11,59,66,67,68,18
date=636930432000000000,5/10/2019,3,16,21,61,62,19
date=636927840000000000,5/7/2019,3,6,34,54,63,19
date=636924384000000000,5/3/2019,8,16,22,66,68,11
date=636921792000000000,4/30/2019,24,37,41,61,70,20
date=636918336000000000,4/26/2019,9,17,23,30,46,10
date=636915744000000000,4/23/2019,7,24,30,48,67,9
date=636912288000000000,4/19/2019,18,25,43,44,57,25
date=636909696000000000,4/16/2019,11,29,34,48,54,10
date=636906240000000000,4/12/2019,1,24,25,40,70,4
date=636903648000000000,4/9/2019,11,22,34,44,58,9
date=636900192000000000,4/5/2019,8,22,24,38,64,21
date=636897600000000000,4/2/2019,33,47,58,59,64,25
date=636894144000000000,3/29/2019,5,14,15,62,66,3
date=636891552000000000,3/26/2019,4,14,22,43,58,9
date=636888096000000000,3/22/2019,7,36,58,60,62,10
date=636885504000000000,3/19/2019,10,42,53,67,68,15
date=636882048000000000,3/15/2019,3,29,56,62,64,4
date=636879456000000000,3/12/2019,10,12,16,49,57,18
date=636876000000000000,3/8/2019,4,9,42,62,68,7
date=636873408000000000,3/5/2019,15,20,32,37,52,6
date=636869952000000000,3/1/2019,29,33,39,60,66,21
date=636867360000000000,2/26/2019,10,12,14,24,60,20
date=636863904000000000,2/22/2019,18,24,31,34,55,4
date=636861312000000000,2/19/2019,17,24,34,56,65,3
date=636857856000000000,2/15/2019,10,38,40,43,65,12
date=636855264000000000,2/12/2019,15,32,39,50,65,7
date=636851808000000000,2/8/2019,14,24,31,42,48,13
date=636849216000000000,2/5/2019,3,34,36,59,66,7
date=636845760000000000,2/1/2019,2,37,48,66,68,11
date=636843168000000000,1/29/2019,10,33,53,54,62,22
date=636839712000000000,1/25/2019,8,16,30,38,61,10
date=636837120000000000,1/22/2019,4,15,37,59,64,16
date=636833664000000000,1/18/2019,2,43,48,62,64,24
date=636831072000000000,1/15/2019,29,52,58,60,62,7
date=636827616000000000,1/11/2019,4,5,31,62,69,20
date=636825024000000000,1/8/2019,13,26,29,38,64,5
date=636821568000000000,1/4/2019,21,29,35,54,60,15
date=636818976000000000,1/1/2019,34,44,57,62,70,14
date=636815520000000000,12/28/2018,9,10,25,37,38,21
date=636812928000000000,12/25/2018,2,8,42,43,50,6
date=636809472000000000,12/21/2018,10,13,61,62,70,5
date=636806880000000000,12/18/2018,13,22,32,60,69,9
date=636803424000000000,12/14/2018,5,22,26,43,49,23
date=636800832000000000,12/11/2018,4,38,39,54,59,12
date=636797376000000000,12/7/2018,4,10,20,33,57,13
date=636794784000000000,12/4/2018,28,31,41,42,50,4
date=636791328000000000,11/30/2018,25,28,40,43,63,19
date=636788736000000000,11/27/2018,12,24,37,42,57,18
date=636785280000000000,11/23/2018,7,10,30,33,59,23
date=636782688000000000,11/20/2018,10,16,31,42,66,10
date=636779232000000000,11/16/2018,33,36,63,68,69,16
date=636776640000000000,11/13/2018,34,46,57,65,69,11
date=636773184000000000,11/9/2018,8,14,27,57,67,5
date=636770592000000000,11/6/2018,28,34,37,56,69,12
date=636767136000000000,11/2/2018,3,23,28,46,62,16
date=636764544000000000,10/30/2018,20,31,39,46,49,23
date=636761088000000000,10/26/2018,1,28,61,62,63,5
date=636758496000000000,10/23/2018,5,28,62,65,70,5
date=636755040000000000,10/19/2018,15,23,53,65,70,7
date=636752448000000000,10/16/2018,3,45,49,61,69,9
date=636748992000000000,10/12/2018,4,24,46,61,70,7
date=636746400000000000,10/9/2018,20,22,39,54,60,18
date=636742944000000000,10/5/2018,27,28,32,41,69,12
date=636740352000000000,10/2/2018,2,22,29,31,34,1
date=636736896000000000,9/28/2018,39,45,52,56,59,15
date=636734304000000000,9/25/2018,8,16,32,48,61,12
date=636730848000000000,9/21/2018,1,2,11,52,64,9
date=636728256000000000,9/18/2018,31,32,43,63,68,17
date=636724800000000000,9/14/2018,23,30,40,43,66,13
date=636722208000000000,9/11/2018,15,30,51,62,67,19
date=636718752000000000,9/7/2018,8,10,41,54,68,10
date=636716160000000000,9/4/2018,2,7,25,35,44,3
date=636712704000000000,8/31/2018,7,18,29,32,45,17
date=636710112000000000,8/28/2018,3,20,33,34,41,20
date=636706656000000000,8/24/2018,1,6,13,18,49,8
date=636704064000000000,8/21/2018,14,16,19,38,57,11
date=636700608000000000,8/17/2018,1,31,32,47,56,3
date=636698016000000000,8/14/2018,11,26,44,45,46,11
date=636694560000000000,8/10/2018,1,3,12,22,42,6
date=636691968000000000,8/7/2018,2,13,15,21,62,2
date=636688512000000000,8/3/2018,9,28,30,54,60,2
date=636685920000000000,7/31/2018,12,15,35,64,69,9
date=636682464000000000,7/27/2018,1,32,40,49,63,20
date=636679872000000000,7/24/2018,1,2,4,19,29,20
date=636676416000000000,7/20/2018,1,14,30,44,62,1
date=636673824000000000,7/17/2018,40,41,61,66,67,12
date=636670368000000000,7/13/2018,21,22,39,59,68,2
date=636667776000000000,7/10/2018,1,17,28,56,70,14
date=636664320000000000,7/6/2018,2,10,46,50,56,16
date=636661728000000000,7/3/2018,13,35,45,49,68,23
date=636658272000000000,6/29/2018,2,32,47,49,68,23
date=636655680000000000,6/26/2018,17,25,29,39,60,19
date=636652224000000000,6/22/2018,2,6,11,27,44,20
date=636649632000000000,6/19/2018,11,13,28,65,70,14
date=636646176000000000,6/15/2018,1,11,37,47,51,6
date=636643584000000000,6/12/2018,1,3,5,8,70,3
date=636640128000000000,6/8/2018,14,30,33,44,56,13
date=636637536000000000,6/5/2018,22,33,41,48,52,4
